t_sec,security,action,trader,price,qty
9,1,Bid,T-003,1,1
10,1,Ask,T-025,110,5
12,1,Ask,T-036,1000,1
12,1,Ask,T-036,1000,1
16,1,Bid,T-006,2,1
17,1,Bid,T-003,1,100
17,1,Ask,T-024,23,5
18,1,Ask,T-020,10,10
18,1,Ask,T-007,5000,1
19,1,Bid,T-003,3,100
21,1,ClearAsk,T-007,0,0
22,1,Bid,T-006,2,1
22,1,Bid,T-006,2,1
23,1,Bid,T-006,2,1
24,1,Bid,T-012,10,10
26,1,Bid,T-003,5,100
27,1,Bid,T-011,1.5,50
27,1,Bid,T-006,2,1
31,1,Ask,T-032,25,10
32,1,Bid,T-019,23,5
33,1,Bid,T-030,10,3
34,1,Ask,T-030,10,3
35,1,Bid,T-038,9,3
36,1,Bid,T-006,2,1
36,1,Bid,T-019,25,5
37,1,ClearBid,T-003,0,0
37,1,Ask,T-012,20,15
37,1,ClearAsk,T-003,0,0
40,1,Bid,T-036,10,10
41,1,Ask,T-022,20,1
42,1,Bid,T-019,20,13
42,1,Bid,T-006,2,2
43,1,ClearAsk,T-036,0,0
44,1,Bid,T-006,2,2
45,1,Bid,T-038,9,3
45,1,Bid,T-030,60.8,6
45,1,Ask,T-030,60.8,6
46,1,Bid,T-033,5,5
47,1,Bid,T-024,1,5
49,1,Bid,T-019,61,6
50,1,Bid,T-040,15,4
51,1,Bid,T-006,2,2
52,1,Bid,T-020,10,10
53,1,Bid,T-040,15,4
54,1,Bid,T-040,15,4
54,1,Ask,T-022,80,1
56,1,Ask,T-002,50,10
56,1,Bid,T-030,60.8,6
57,1,Ask,T-002,50,10
57,1,Bid,T-030,60.8,6
58,1,ClearBid,T-030,0,0
59,1,Ask,T-018,50,30
59,1,ClearBid,T-030,0,0
59,1,ClearBid,T-030,0,0
60,1,ClearBid,T-030,0,0
62,1,Ask,T-029,60,1
63,1,Ask,T-006,2,2
64,1,Ask,T-010,60,2
64,1,Ask,T-022,20,1
65,1,Bid,T-034,20,10
67,1,Bid,T-034,20,10
67,1,Bid,T-024,1,5
68,1,Bid,T-038,49,3
68,1,ClearBid,T-011,0,0
68,1,Bid,T-019,30,1
68,1,ClearBid,T-029,0,0
69,1,ClearBid,T-020,0,0
69,1,Ask,T-036,40,10
69,1,Bid,T-024,1,5
70,1,Ask,T-012,17,10
70,1,Ask,T-007,5000,1
72,1,Bid,T-020,20.01,10
72,1,Bid,T-037,16,5
73,1,Ask,T-006,49,2
73,1,Bid,T-019,30,20
74,1,Ask,T-007,5000,1
76,1,Ask,T-006,49,1
76,1,Bid,T-033,20,5
78,1,Bid,T-004,20,5
78,1,Ask,T-012,25,10
78,1,Ask,T-007,5000,1
79,1,Bid,T-011,18,15
80,1,Ask,T-006,49,1
80,1,Ask,T-030,90,6
80,1,Bid,T-002,35,10
81,1,Bid,T-036,20,10
81,1,ClearBid,T-010,0,0
81,1,Ask,T-038,30,3
81,1,ClearAsk,T-007,0,0
81,1,Ask,T-035,1.9,5
81,1,Ask,T-006,49,1
81,1,ClearAsk,T-010,0,0
82,1,Bid,T-030,90,6
83,1,Bid,T-034,25,10
83,1,Ask,T-006,49,1
84,1,Ask,T-006,49,1
85,1,Ask,T-032,50,10
85,1,Ask,T-035,1.9,5
86,1,Ask,T-024,3,50
86,1,Bid,T-030,90,6
87,1,Bid,T-019,50,20
89,1,Ask,T-022,30,1
89,1,Ask,T-006,49,1
89,1,Bid,T-019,50,20
92,1,Bid,T-036,20,10
92,1,Bid,T-019,50,20
93,1,Ask,T-031,45,1
94,1,Ask,T-006,60,1
96,1,Ask,T-010,30,1
97,1,Ask,T-022,30,1
97,1,Bid,T-003,8,25
98,1,Ask,T-038,30,3
98,1,Ask,T-001,50,10
98,1,Ask,T-036,40,10
98,1,Ask,T-006,60,1
98,1,Ask,T-011,20,15
101,1,Ask,T-001,50,10
102,1,Bid,T-034,25,10
103,1,Bid,T-035,1.9,5
104,1,Bid,T-001,20,10
104,1,Ask,T-029,30,5
105,1,Ask,T-036,35,10
105,1,Ask,T-004,30,5
106,1,Ask,T-026,60,10
110,1,Ask,T-030,70,5
110,1,Ask,T-033,30,5
110,1,Bid,T-011,20,50
110,1,Bid,T-019,10,3
110,1,Ask,T-023,28,5
111,1,Ask,T-036,30,10
111,1,Bid,T-024,1,10
112,1,Bid,T-030,70,5
113,1,Bid,T-035,1.9,5
113,1,Ask,T-006,29,1
114,1,Bid,T-006,29,1
115,1,Bid,T-024,1,10
115,1,Ask,T-007,29,10
116,1,Bid,T-024,1,10
118,1,Bid,T-024,1,10
118,1,Ask,T-026,60,10
118,1,Bid,T-002,30,10
119,1,Ask,T-037,35,5
120,1,Bid,T-036,20,10
120,1,Ask,T-025,25,5
120,1,Bid,T-038,25,3
120,1,Ask,T-029,39,5
120,1,Bid,T-019,25,5
120,1,Ask,T-034,30,10
121,1,Bid,T-024,1,10
121,1,Bid,T-024,1,10
121,1,Bid,T-024,1,10
121,1,Bid,T-024,1,10
122,1,Ask,T-022,26,10
122,1,ClearAsk,T-029,0,0
123,1,Bid,T-019,25,5
123,1,Bid,T-006,29,1
123,1,Bid,T-019,25,5
123,1,Bid,T-006,29,1
123,1,Bid,T-019,25,5
123,1,Bid,T-019,25,5
123,1,Bid,T-006,29,1
123,1,Bid,T-004,25,5
123,1,Bid,T-024,3,10
123,1,Bid,T-006,29,1
125,1,Ask,T-030,10,8
126,1,Bid,T-024,3,10
126,1,Bid,T-024,3,10
126,1,Ask,T-029,30,5
126,1,Ask,T-032,33,25
128,1,Bid,T-019,25.01,5
128,1,ClearBid,T-024,0,0
129,1,Bid,T-006,29,1
129,1,Bid,T-006,29,1
129,1,Bid,T-028,1000,1
129,1,Bid,T-006,29,1
130,1,Bid,T-012,27,10
131,1,Ask,T-036,29,10
131,1,Ask,T-030,25,8
133,1,Bid,T-004,26,5
133,1,Ask,T-034,30,10
134,1,Ask,T-034,30,10
134,1,Ask,T-031,30,10
135,1,Bid,T-040,20,5
136,1,Ask,T-034,30,10
137,1,Bid,T-004,26,5
138,1,Bid,T-003,19,5
138,1,Ask,T-031,30,10
138,1,Ask,T-007,28,10
139,1,ClearBid,T-011,0,0
139,1,Bid,T-029,35,10
139,1,Ask,T-005,29,4
140,1,Ask,T-001,20,10
141,1,Ask,T-006,30,1
141,1,Ask,T-030,50,15
142,1,ClearAsk,T-037,0,0
142,1,Ask,T-006,30,1
142,1,ClearBid,T-037,0,0
143,1,Ask,T-026,29.5,1
143,1,Bid,T-001,40,10
144,1,Ask,T-006,30,1
144,1,Ask,T-006,30,1
144,1,Bid,T-006,30,1
145,1,Ask,T-006,30,1
145,1,Ask,T-006,30,1
146,1,Ask,T-006,30,1
147,1,Ask,T-019,80,50
147,1,Ask,T-037,25,5
147,1,Ask,T-026,29.5,1
148,1,Ask,T-030,50,15
149,1,Ask,T-034,28,10
149,1,Bid,T-020,50,5
149,1,Ask,T-034,28,10
150,1,Ask,T-034,28,10
150,1,Ask,T-003,33,5
151,1,Ask,T-034,28,10
153,1,Ask,T-006,30,1
153,1,Ask,T-019,80,50
153,1,Bid,T-038,20,2
156,1,Ask,T-035,27,5
156,1,Ask,T-007,27,10
159,1,Ask,T-012,26,10
159,1,Ask,T-030,35,9
160,1,Ask,T-004,29,10
160,1,Bid,T-012,26,10
162,1,Bid,T-011,25.5,5
162,1,ClearAsk,T-012,0,0
162,1,Bid,T-038,25,2
162,1,Ask,T-007,29,10
163,1,Bid,T-006,25,1
165,1,Bid,T-006,25,1
165,1,Ask,T-025,28,5
165,1,Ask,T-027,27,5
166,1,Bid,T-006,25,1
166,1,Bid,T-011,25.5,5
167,1,Bid,T-006,25,1
168,1,Bid,T-004,25,10
168,1,Bid,T-011,25.5,5
168,1,Bid,T-001,40,10
169,1,Bid,T-001,40,10
169,1,Bid,T-006,25,1
169,1,Bid,T-001,40,10
170,1,ClearBid,T-011,0,0
170,1,Bid,T-034,26,10
171,1,Bid,T-006,25,1
172,1,Ask,T-034,26,10
172,1,Bid,T-006,25,1
172,1,Bid,T-006,25,1
172,1,Bid,T-006,25,1
172,1,Ask,T-034,26,10
173,1,Bid,T-030,25,9
173,1,Ask,T-034,26,10
173,1,Ask,T-029,25,10
174,1,Bid,T-037,26,10
175,1,Bid,T-030,25,9
175,1,Ask,T-035,25,5
175,1,Bid,T-002,27,10
176,1,Ask,T-038,25,10
176,1,Bid,T-010,25,10
176,1,Ask,T-021,27,10
177,1,Ask,T-034,26,10
178,1,Bid,T-037,25,10
178,1,Bid,T-006,25,1
178,1,Bid,T-006,25,1
178,1,Ask,T-021,27,10
179,1,Bid,T-002,27,10
179,1,Ask,T-039,26.99,5
179,1,Bid,T-036,25,10
179,1,Ask,T-034,26,10
179,1,Bid,T-006,25,1
180,1,Bid,T-022,25,10
180,1,Bid,T-006,25,1
180,1,Bid,T-006,25,1
180,1,Bid,T-003,25.9,1
181,1,Bid,T-019,28,10
182,1,Bid,T-030,25,4
