t_sec,security,action,trader_1,trader_2,price,qty
11,1,Sell,T-032,T-003,1,1
17,1,Sell,T-005,T-006,2,1
24,1,Buy,T-012,T-020,10,10
26,1,Sell,T-023,T-003,5,10
30,1,Buy,T-038,T-024,23,3
31,1,Buy,T-005,T-024,23,2
34,1,Sell,T-030,T-019,23,3
36,1,Buy,T-019,T-032,25,5
37,1,Sell,T-012,T-019,23,2
42,1,Buy,T-019,T-012,20,13
44,1,Buy,T-001,T-022,20,1
45,1,Buy,T-030,T-032,25,5
49,1,Buy,T-019,T-030,60.8,6
56,1,Sell,T-002,T-030,60.8,1
56,1,Buy,T-030,T-002,50,6
57,1,Buy,T-030,T-002,50,3
57,1,Buy,T-030,T-002,50,3
63,1,Sell,T-006,T-040,15,2
65,1,Buy,T-034,T-022,20,1
69,1,Sell,T-036,T-038,49,3
70,1,Sell,T-012,T-019,30,1
70,1,Sell,T-012,T-034,20,9
74,1,Sell,T-001,T-019,30,5
76,1,Buy,T-001,T-036,40,5
77,1,Sell,T-003,T-019,30,15
77,1,Buy,T-001,T-036,40,2
78,1,Buy,T-001,T-006,49,2
78,1,Buy,T-001,T-006,49,1
80,1,Buy,T-002,T-012,25,10
81,1,Sell,T-035,T-020,20.01,5
82,1,Buy,T-030,T-038,30,3
82,1,Buy,T-030,T-006,49,1
82,1,Buy,T-030,T-006,49,1
82,1,Buy,T-030,T-002,50,1
85,1,Sell,T-035,T-034,25,5
86,1,Sell,T-024,T-034,25,5
86,1,Sell,T-024,T-020,20.01,5
86,1,Sell,T-024,T-034,20,10
86,1,Sell,T-024,T-033,20,5
86,1,Sell,T-024,T-004,20,5
86,1,Sell,T-024,T-036,20,10
86,1,Sell,T-024,T-011,18,10
86,1,Buy,T-030,T-006,49,1
86,1,Buy,T-030,T-006,49,1
86,1,Buy,T-030,T-002,50,4
87,1,Buy,T-019,T-002,50,2
87,1,Buy,T-019,T-018,50,18
89,1,Buy,T-019,T-022,30,1
89,1,Buy,T-019,T-006,49,1
89,1,Buy,T-019,T-018,50,12
89,1,Buy,T-019,T-032,50,6
92,1,Buy,T-019,T-032,50,4
93,1,Sell,T-031,T-019,50,1
93,1,Sell,T-040,T-019,50,15
98,1,Buy,T-032,T-010,30,1
98,1,Buy,T-032,T-022,30,1
98,1,Buy,T-032,T-038,30,3
98,1,Sell,T-011,T-036,20,10
100,1,Buy,T-032,T-011,20,5
103,1,Buy,T-020,T-036,40,10
105,1,Buy,T-032,T-029,30,5
111,1,Buy,T-032,T-023,28,5
112,1,Buy,T-030,T-004,30,5
114,1,Buy,T-032,T-006,29,1
115,1,Buy,T-032,T-033,30,5
115,1,Buy,T-032,T-036,30,5
115,1,Sell,T-007,T-006,29,1
118,1,Buy,T-002,T-007,29,9
118,1,Buy,T-002,T-036,30,1
120,1,Sell,T-025,T-034,25,5
123,1,Buy,T-006,T-022,26,1
123,1,Buy,T-006,T-022,26,1
123,1,Buy,T-040,T-022,26,8
125,1,Sell,T-030,T-006,29,1
125,1,Sell,T-030,T-006,29,1
125,1,Sell,T-030,T-034,25,5
125,1,Sell,T-030,T-038,25,1
129,1,Buy,T-028,T-036,30,1
131,1,Sell,T-036,T-006,29,1
131,1,Sell,T-036,T-006,29,1
131,1,Sell,T-036,T-006,29,1
131,1,Sell,T-030,T-012,27,8
139,1,Buy,T-029,T-007,28,10
140,1,Sell,T-001,T-012,27,2
