t_sec,symbol,bid,bid_size,ask,ask_size
0.000,S1,,,,
0.827,S1,11.00,1000,,
7.971,S1,11.00,1000,110.00,1000
9.544,S1,11.00,1000,110.00,990
10.608,S1,11.00,1000,110.00,1000
14.534,S1,11.00,990,110.00,1000
15.012,S1,11.00,990,,
15.032,S1,95.00,10,,
18.081,S1,95.00,10,100000.00,1000
19.816,S1,95.00,10,100000.00,990
19.927,S1,95.00,10,100000.00,980
21.714,S1,95.00,10,100000.00,970
26.089,S1,95.00,10,100000.00,960
27.187,S1,100.00,1000,100000.00,960
27.583,S1,100.00,1000,90000.00,100
32.919,S1,100.00,990,90000.00,100
36.606,S1,100.00,990,90000.00,90
37.249,S1,100.00,990,90000.00,80
37.819,S1,100.00,990,90000.00,70
37.870,S1,100.00,990,90000.00,60
38.389,S1,100.00,990,90000.00,50
38.927,S1,100.00,990,90000.00,40
39.899,S1,100.00,990,90000.00,30
40.040,S1,100.00,990,80000.00,1000
43.756,S1,100.00,990,125.00,10
45.854,S1,100.00,990,80000.00,1000
46.339,S1,100.00,990,80000.00,990
46.719,S1,100.00,990,80000.00,980
47.235,S1,100.00,990,80000.00,970
47.588,S1,100.00,990,80000.00,960
47.933,S1,100.00,990,80000.00,950
48.786,S1,100.00,990,80000.00,945
57.316,S1,100.00,990,80000.00,935
57.774,S1,100.00,990,10000.00,100
58.836,S1,105.00,10,10000.00,100
59.892,S1,100.00,990,10000.00,100
60.613,S1,110.00,100,10000.00,100
65.879,S1,110.00,100,5000.00,1000
67.759,S1,110.00,90,5000.00,1000
68.510,S1,110.00,90,5000.00,990
68.800,S1,110.00,90,8500.00,990
69.013,S1,110.00,90,8500.00,980
69.358,S1,110.00,90,8500.00,970
69.677,S1,110.00,90,8500.00,960
70.008,S1,110.00,90,8500.00,950
70.351,S1,110.00,90,8500.00,940
70.657,S1,110.00,90,8500.00,930
70.910,S1,110.00,90,8500.00,920
71.123,S1,110.00,90,8500.00,910
71.334,S1,110.00,90,8500.00,900
71.526,S1,110.00,90,8500.00,890
71.726,S1,110.00,90,8500.00,880
71.909,S1,110.00,90,8500.00,870
72.081,S1,110.00,90,8500.00,860
72.273,S1,110.00,90,8500.00,850
72.494,S1,110.00,90,8500.00,840
