id,t_sec,symbol,price,qty,taker_side,buyer,seller,bid,ask
1,9.544,S1,110.00,10,buy,T-014,T-034,11.00,110.00
2,14.534,S1,11.00,10,sell,T-034,T-013,11.00,110.00
3,15.012,S1,110.00,990,buy,T-023,T-034,11.00,110.00
4,15.012,S1,110.00,10,buy,T-023,T-003,11.00,110.00
5,19.816,S1,100000.00,10,buy,T-030,T-020,95.00,100000.00
6,19.927,S1,100000.00,10,buy,T-029,T-020,95.00,100000.00
7,21.714,S1,100000.00,10,buy,T-014,T-020,95.00,100000.00
8,26.089,S1,100000.00,10,buy,T-007,T-020,95.00,100000.00
9,32.919,S1,100.00,10,sell,T-015,T-033,100.00,90000.00
10,36.606,S1,90000.00,10,buy,T-030,T-039,100.00,90000.00
11,37.249,S1,90000.00,10,buy,T-030,T-039,100.00,90000.00
12,37.819,S1,90000.00,10,buy,T-030,T-039,100.00,90000.00
13,37.870,S1,90000.00,10,buy,T-041,T-039,100.00,90000.00
14,38.389,S1,90000.00,10,buy,T-030,T-039,100.00,90000.00
15,38.927,S1,90000.00,10,buy,T-030,T-039,100.00,90000.00
16,39.899,S1,90000.00,10,buy,T-007,T-039,100.00,90000.00
17,45.854,S1,125.00,10,buy,T-030,T-003,100.00,125.00
18,46.339,S1,80000.00,10,buy,T-030,T-020,100.00,80000.00
19,46.719,S1,80000.00,10,buy,T-030,T-020,100.00,80000.00
20,47.235,S1,80000.00,10,buy,T-030,T-020,100.00,80000.00
21,47.588,S1,80000.00,10,buy,T-030,T-020,100.00,80000.00
22,47.933,S1,80000.00,10,buy,T-030,T-020,100.00,80000.00
23,48.786,S1,80000.00,5,buy,T-014,T-020,100.00,80000.00
24,57.316,S1,80000.00,10,buy,T-031,T-020,100.00,80000.00
25,59.892,S1,105.00,10,sell,T-026,T-029,105.00,10000.00
26,67.759,S1,110.00,10,sell,T-012,T-013,110.00,5000.00
27,68.510,S1,5000.00,10,buy,T-030,T-003,110.00,5000.00
28,68.800,S1,5000.00,990,buy,T-025,T-003,110.00,5000.00
29,68.800,S1,8500.00,10,buy,T-025,T-010,110.00,5000.00
30,69.013,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
31,69.358,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
32,69.677,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
33,70.008,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
34,70.351,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
35,70.657,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
36,70.910,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
37,71.123,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
38,71.334,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
39,71.526,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
40,71.726,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
41,71.909,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
42,72.081,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
43,72.273,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
44,72.494,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
45,72.677,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
46,72.892,S1,8500.00,10,buy,T-030,T-010,110.00,8500.00
47,73.347,S1,8500.00,820,buy,T-023,T-010,110.00,8500.00
48,73.347,S1,10000.00,100,buy,T-023,T-039,110.00,8500.00
49,73.347,S1,80000.00,80,buy,T-023,T-020,110.00,8500.00
50,75.728,S1,200.00,5,sell,T-015,T-014,200.00,1000.00
51,80.519,S1,1000.00,10,buy,T-007,T-034,200.00,1000.00
52,81.537,S1,1000.00,10,buy,T-007,T-034,200.00,1000.00
53,83.069,S1,1000.00,10,buy,T-030,T-034,210.00,1000.00
54,83.604,S1,1000.00,10,buy,T-030,T-034,210.00,1000.00
55,87.159,S1,900.00,1000,buy,T-025,T-003,210.00,900.00
56,88.500,S1,1000.00,10,buy,T-030,T-034,210.00,1000.00
57,89.039,S1,1000.00,10,buy,T-030,T-034,210.00,1000.00
58,92.117,S1,1000.00,10,buy,T-007,T-034,210.00,1000.00
59,93.276,S1,800.00,100,buy,T-030,T-034,210.00,800.00
60,95.727,S1,800.00,10,buy,T-007,T-034,210.00,800.00
61,95.928,S1,800.00,100,buy,T-030,T-034,210.00,800.00
62,96.101,S1,800.00,10,buy,T-031,T-034,210.00,800.00
63,96.313,S1,800.00,100,buy,T-030,T-034,210.00,800.00
64,96.686,S1,800.00,100,buy,T-030,T-034,210.00,800.00
65,97.030,S1,800.00,100,buy,T-030,T-034,210.00,800.00
66,97.364,S1,800.00,10,buy,T-031,T-034,210.00,800.00
67,97.385,S1,800.00,100,buy,T-030,T-034,210.00,800.00
68,97.538,S1,800.00,10,buy,T-007,T-034,210.00,800.00
69,97.709,S1,800.00,100,buy,T-030,T-034,210.00,800.00
70,97.913,S1,800.00,10,buy,T-031,T-034,210.00,800.00
71,98.054,S1,800.00,100,buy,T-030,T-034,210.50,800.00
72,98.336,S1,800.00,100,buy,T-030,T-034,210.50,800.00
73,98.336,S1,800.00,10,buy,T-007,T-034,210.50,800.00
74,98.630,S1,800.00,40,buy,T-030,T-034,210.50,800.00
75,98.630,S1,1000.00,60,buy,T-030,T-034,210.50,800.00
76,98.922,S1,1000.00,100,buy,T-030,T-034,210.50,1000.00
77,99.275,S1,1000.00,100,buy,T-030,T-034,210.50,1000.00
78,99.632,S1,800.00,100,buy,T-030,T-034,210.50,800.00
79,99.976,S1,800.00,100,buy,T-030,T-034,210.50,800.00
80,100.277,S1,800.00,100,buy,T-030,T-034,210.50,800.00
81,100.537,S1,800.00,100,buy,T-030,T-034,210.50,800.00
82,100.791,S1,800.00,100,buy,T-030,T-034,210.50,800.00
83,101.045,S1,800.00,100,buy,T-030,T-034,210.50,800.00
84,101.065,S1,800.00,10,buy,T-031,T-034,210.50,800.00
85,101.289,S1,800.00,100,buy,T-030,T-034,210.50,800.00
86,101.551,S1,800.00,100,buy,T-030,T-034,210.50,800.00
87,101.774,S1,800.00,100,buy,T-030,T-034,210.50,800.00
88,101.945,S1,800.00,10,buy,T-031,T-034,210.50,800.00
89,101.986,S1,800.00,80,buy,T-030,T-034,210.50,800.00
90,101.986,S1,800.00,20,buy,T-030,T-034,210.50,800.00
91,102.167,S1,800.00,100,buy,T-030,T-034,210.50,800.00
92,102.308,S1,800.00,10,buy,T-031,T-034,210.50,800.00
93,102.379,S1,800.00,100,buy,T-030,T-034,210.50,800.00
94,102.509,S1,800.00,10,buy,T-031,T-034,210.50,800.00
95,102.559,S1,800.00,100,buy,T-030,T-034,210.50,800.00
96,102.662,S1,800.00,10,buy,T-031,T-034,210.50,800.00
97,102.756,S1,800.00,100,buy,T-030,T-034,210.50,800.00
