t_sec,stock1,stock2
1,240.3,139.8
2,240.3,139.8
3,240.3,139.8
4,240.3,139.8
5,240.3,139.8
6,240.3,139.8
7,240.3,139.8
8,240.3,139.8
9,240.3,139.8
10,240.3,139.8
11,240.3,139.8
12,240.3,139.8
13,240.3,139.8
14,240.3,139.8
15,240.3,139.8
16,240.3,139.8
17,240.3,139.8
18,240.3,139.8
19,240.3,139.8
20,240.3,139.8
21,240.3,139.8
22,240.3,139.8
23,240.3,139.8
24,240.3,139.8
25,240.3,139.8
26,240.3,139.8
27,240.3,139.8
28,240.3,139.8
29,240.3,139.8
30,240.3,139.8
31,240.3,139.8
32,240.3,139.8
33,240.3,139.8
34,240.3,139.8
35,240.3,139.8
36,240.3,139.8
37,240.3,139.8
38,240.3,139.8
39,240.3,139.8
40,240.3,139.8
41,240.3,139.8
42,240.3,139.8
43,240.3,139.8
44,240.3,139.8
45,240.3,139.8
46,244.2,137.2
47,244.2,137.2
48,244.2,137.2
49,244.2,137.2
50,244.2,137.2
51,244.2,137.2
52,244.2,137.2
53,244.2,137.2
54,244.2,137.2
55,244.2,137.2
56,244.2,137.2
57,244.2,137.2
58,244.2,137.2
59,244.2,137.2
60,244.2,137.2
61,244.2,137.2
62,244.2,137.2
63,244.2,137.2
64,244.2,137.2
65,244.2,137.2
66,244.2,137.2
67,244.2,137.2
68,244.2,137.2
69,254.1,130.6
70,254.1,130.6
71,254.1,130.6
72,254.1,130.6
73,254.1,130.6
74,254.1,130.6
75,254.1,130.6
76,254.1,130.6
77,254.1,130.6
78,254.1,130.6
79,254.1,130.6
80,254.1,130.6
81,254.1,130.6
82,254.1,130.6
83,254.1,130.6
84,254.1,130.6
85,254.1,130.6
86,254.1,130.6
87,254.1,130.6
88,254.1,130.6
89,254.1,130.6
90,254.1,130.6
91,254.1,130.6
92,254.1,130.6
93,254.1,130.6
94,254.1,130.6
95,254.1,130.6
96,254.1,130.6
97,254.1,130.6
98,254.1,130.6
99,254.1,130.6
100,254.1,130.6
101,254.1,130.6
102,254.1,130.6
103,254.1,130.6
104,254.1,130.6
105,254.1,130.6
106,254.1,130.6
107,254.1,130.6
108,254.1,130.6
109,252.9,131.4
110,252.9,131.4
111,252.9,131.4
112,252.9,131.4
113,252.9,131.4
114,252.9,131.4
115,252.9,131.4
116,252.9,131.4
117,252.9,131.4
118,252.9,131.4
119,252.9,131.4
120,252.9,131.4
121,250.5,133
122,250.5,133
123,250.5,133
124,250.5,133
125,250.5,133
126,250.5,133
127,250.5,133
128,250.5,133
129,250.5,133
130,250.5,133
131,250.5,133
132,250.5,133
133,250.5,133
134,250.5,133
135,250.5,133
136,250.5,133
137,250.5,133
138,250.5,133
139,250.5,133
140,250.5,133
141,250.5,133
142,250.5,133
143,250.5,133
144,250.5,133
145,250.5,133
146,250.5,133
147,250.5,133
148,250.5,133
149,235.2,143.2
150,235.2,143.2
151,235.2,143.2
152,235.2,143.2
153,235.2,143.2
154,235.2,143.2
155,235.2,143.2
156,235.2,143.2
157,235.2,143.2
158,235.2,143.2
159,235.2,143.2
160,235.2,143.2
161,235.2,143.2
162,240.6,139.6
163,240.6,139.6
164,240.6,139.6
165,240.6,139.6
166,240.6,139.6
167,240.6,139.6
168,240.6,139.6
169,240.6,139.6
170,240.6,139.6
171,240.6,139.6
172,240.6,139.6
173,240.6,139.6
174,240.6,139.6
175,240.6,139.6
176,240.6,139.6
177,240.6,139.6
178,240.6,139.6
179,240.6,139.6
180,240.6,139.6
181,240.6,139.6
182,240.6,139.6
183,240.6,139.6
184,240.6,139.6
185,248.7,134.2
186,248.7,134.2
