t_sec,symbol,side,type,price,qty,filled_qty,status,event
442.976,STOCK2,sell,market,,1,1,filled,accepted
519.831,STOCK2,sell,limit,180.00,10,0,working,accepted
533.344,STOCK2,sell,limit,180.00,10,0,working,accepted
805.101,STOCK2,sell,limit,150.00,100,0,working,accepted
805.101,STOCK2,sell,limit,150.00,100,0,cancelled,cancelled
875.718,STOCK2,sell,market,,100,100,filled,accepted
931.915,STOCK2,buy,market,,100,100,filled,accepted
1149.275,STOCK2,sell,limit,117.00,500,0,working,accepted
1156.826,STOCK2,sell,limit,117.00,500,0,working,accepted
1159.562,STOCK2,sell,limit,117.00,500,0,working,accepted
1160.108,STOCK2,sell,limit,117.00,500,0,working,accepted
1359.567,STOCK1,buy,limit,305.00,500,0,working,accepted
1406.445,STOCK2,sell,market,,500,500,filled,accepted
1831.258,STOCK2,buy,limit,30.00,3000,0,cancelled,cancelled
1831.258,STOCK2,buy,limit,30.00,3000,0,working,accepted
1877.403,STOCK2,buy,limit,11.00,5000,0,working,accepted
1909.870,STOCK2,sell,limit,95.00,500,0,working,accepted
2025.210,STOCK2,buy,limit,101.00,2000,0,working,accepted
2025.210,STOCK2,buy,limit,101.00,2000,0,cancelled,cancelled
2695.175,STOCK2,buy,market,,1000,1000,filled,accepted
2730.102,STOCK1,sell,limit,305.00,2000,0,working,accepted
2770.007,STOCK2,sell,limit,120.00,2000,0,working,accepted
3227.308,STOCK1,buy,limit,240.00,2000,0,working,accepted
3246.595,STOCK2,buy,limit,120.00,2000,0,working,accepted
3363.625,STOCK1,sell,market,,500,500,filled,accepted
3621.613,STOCK2,buy,market,,4021,4021,filled,accepted
