t_sec,stock1,stock2,relative
0,89,152.7,
47,87.7,155.3,
80,83.5,156.3,
116,83.6,157.8,
151,82,162.8,
161,81.8,163.6,
198,78.4,164.5,
229,74.9,168.2,
258,76.2,169.4,
284,72.6,170.6,
295,71,171.2,
327,70.2,173,
364,66.6,173.3,
402,66.1,174.6,
450,66.8,179.7,
479,64.5,180.8,
495,64.4,184.4,
542,58.9,186.1,
569,58.3,186.6,
582,60.1,187.4,
601,57.1,189.8,
603,57.2,188.7,
619,57.9,189.3,
646,61.5,185.3,
696,55.6,186,
740,58.4,185.6,
789,57.9,185.1,
826,61,188.7,
848,55.9,191,
889,50.8,189.5,
905,50.7,191.2,
908,50.2,191.9,
937,50,191.8,
940,49.7,197,
958,50.4,198.4,
968,48.1,200.9,
998,47.7,201.8,
1042,45.8,206.8,
1069,46,205.8,
1074,46.9,209.9,
1092,44.1,212.5,
1108,44.3,215.8,
1134,41.7,217.3,
1158,43.3,217.9,
1201,39,219.7,
1251,34.9,219.5,
1277,36,222.8,
1310,36.4,219,
1348,32.4,221.6,
1386,28.7,223.7,
1393,29.4,224.2,
1410,30.6,228.1,
1431,27.3,229.9,
1455,28,228.4,
1458,28.6,231.9,
1476,30.2,232.7,
1503,32.6,233.5,
1529,32,236.9,
1544,31.6,237.3,
1549,31.9,239.4,
1593,28.3,240.3,
1620,29.7,242.4,
1651,27.9,243.8,
1682,26.7,246.2,
1708,26.7,248.9,
1730,26,253.6,
1766,30.5,253.9,
1783,28.7,254.3,
1817,28.4,258,
1824,28.1,258.3,
1848,26.3,258.9,
1859,26.7,265.2,
1879,27.2,270.1,
1907,27.8,272.9,
1927,28.1,274.8,
1976,28.5,303.7,
2021,27.8,292.5,
2067,28.5,286,
2092,30.5,281.8,
2140,31.8,276.2,
2179,36.4,276.2,
2193,37.1,273.5,
2232,35,268.9,
2254,33.9,263.2,
2289,33.1,261.6,
2295,33.2,259.9,
2330,34,254.9,
2339,34.3,251.1,
2383,35.9,249,
2386,36.2,247.4,
2417,33.8,240.7,
2442,35.5,238.8,
2471,36.9,237.7,
2494,36.7,231,
2498,36,230.9,
2500,36.6,229.6,
2517,37.7,229.3,
2565,44.2,226,
2600,43.5,219.9,
2643,41.7,214.4,
2655,42.4,213.5,
2696,42.6,205.9,
2737,40.6,204,
2753,40.9,203.3,
2756,40.7,200.2,
2770,40.5,197.7,
2781,41.4,191.5,
2794,43,190.7,
2803,44,189.8,
2843,41.8,185.4,
2880,41.3,179.1,
2917,44.5,177.3,
2949,43,177.2,
2993,42.4,173.9,
3014,43.3,173.8,
3040,45.9,171.6,
3084,46.9,171.8,
3115,49.5,168.5,
3150,53.6,168.1,
3158,53.4,163.2,
3178,53.9,163.3,
3225,52.5,157.3,
3229,53.5,156.5,
3254,56.6,157.6,
3292,58.6,157.7,
3320,59.4,156.7,
3333,61,151.9,
3355,60.6,150.6,
3368,59.9,145.9,
3396,60.8,144,
3443,64.6,142,
3488,65.2,142.5,
3512,66.9,142.2,
3557,64.2,140.6,
3580,62.3,133,
3593,62.4,133.2,
3600,62.5,133.3,
